,CustomerId,Geography,Age,Tenure,HasCrCard,EstimatedSalary,Churn
158,15589975,France,70-74,6,0,100000-109999,0
159,15804017,Germany,30-34,4,0,110000-119999,0
160,15692132,Spain,20-24,6,0,80000-89999,0
161,15641122,France,25-29,2,1,80000-89999,0
162,15630910,France,45-49,7,0,40000-49999,0
163,15680772,Spain,35-39,2,1,100000-109999,0
164,15658929,Spain,25-29,0,1,50000-59999,1
165,15585388,Germany,30-34,9,1,130000-139999,0
166,15724623,Germany,20-24,7,1,160000-169999,1
167,15588537,Spain,40-44,9,1,190000-199999,0
168,15574692,Spain,35-39,2,1,40000-49999,1
169,15611325,Germany,20-24,9,0,50000-59999,0
170,15587562,France,25-29,4,1,160000-169999,0
171,15613172,Germany,25-29,5,1,150000-159999,0
172,15651022,Germany,40-44,10,1,0-9999,1
173,15586310,France,25-29,4,1,110000-119999,0
174,15625524,France,35-39,5,1,140000-149999,0
175,15755209,Spain,30-34,7,1,20000-29999,0
176,15645248,France,25-29,0,1,130000-139999,0
177,15790355,Germany,35-39,5,0,170000-179999,0
178,15762615,Spain,35-39,8,0,90000-99999,0
179,15625426,Germany,50-54,3,1,0-9999,1
180,15716334,Spain,40-44,2,1,10000-19999,0
181,15789669,France,60-64,2,1,40000-49999,0
182,15621075,Germany,40-44,1,1,170000-179999,0
183,15810845,France,40-44,2,1,50000-59999,0
184,15719377,France,45-49,4,1,0-9999,1
185,15654506,France,30-34,8,1,90000-99999,0
186,15771977,France,35-39,1,1,190000-199999,0
187,15708710,Spain,35-39,0,0,130000-139999,0
188,15726676,Spain,25-29,5,0,190000-199999,0
189,15587421,Germany,30-34,7,1,140000-149999,0
190,15726931,France,40-44,8,0,90000-99999,1
191,15771086,France,35-39,3,1,10000-19999,0
192,15756850,France,35-39,1,0,110000-119999,0
193,15702741,France,30-34,8,1,80000-89999,0
194,15679200,Spain,25-29,9,1,120000-129999,0
195,15594815,France,30-34,3,1,0-9999,0
196,15635905,Spain,30-34,6,1,40000-49999,0
197,15777892,Germany,35-39,3,1,150000-159999,0
198,15656176,France,55-59,10,1,40000-49999,0
199,15811127,France,30-34,6,1,10000-19999,0
200,15604482,Spain,25-29,2,1,0-9999,0
201,15622911,France,40-44,4,0,120000-129999,0
202,15600974,Spain,45-49,5,0,140000-149999,1
203,15727868,France,35-39,2,1,10000-19999,1
204,15627801,Spain,30-34,3,1,90000-99999,0
205,15773039,France,35-39,3,1,170000-179999,0
206,15755262,Spain,40-44,3,0,190000-199999,1
207,15679531,France,30-34,5,1,150000-159999,0
208,15684181,France,40-44,5,1,140000-149999,1
209,15612087,France,40-44,2,0,150000-159999,0
210,15752047,Germany,30-34,2,1,160000-169999,0
211,15624592,France,30-34,8,1,160000-169999,0
212,15573152,France,40-44,9,0,80000-89999,0
213,15594917,France,30-34,1,1,40000-49999,0
214,15785542,Germany,25-29,4,0,60000-69999,0
215,15723488,Germany,45-49,7,0,150000-159999,1
216,15680920,France,45-49,7,1,130000-139999,0
217,15786308,Spain,30-34,9,0,170000-179999,0
218,15659366,France,40-44,1,1,30000-39999,1
219,15774854,France,50-54,8,1,20000-29999,1
220,15725311,France,30-34,9,1,90000-99999,0
221,15787155,Spain,25-29,7,0,120000-129999,0
222,15727829,France,40-44,2,1,160000-169999,0
223,15733247,France,30-34,10,1,0-9999,1
224,15568748,Germany,40-44,6,1,100000-109999,1
225,15699029,France,35-39,4,1,190000-199999,0
226,15774393,France,25-29,9,1,20000-29999,0
227,15676895,Germany,35-39,6,1,80000-89999,1
228,15637753,Germany,45-49,2,1,70000-79999,1
229,15605461,Germany,25-29,3,1,60000-69999,0
230,15808473,France,70-74,1,0,110000-119999,0
231,15627000,France,35-39,0,1,60000-69999,0
232,15787174,France,35-39,1,0,150000-159999,0
233,15723886,Germany,15-19,3,0,150000-159999,0
234,15704769,France,65-69,5,0,90000-99999,0
235,15772896,Germany,40-44,6,1,30000-39999,1
236,15711540,France,25-29,2,1,140000-149999,0
237,15764866,Germany,40-44,3,1,50000-59999,1
238,15794056,France,45-49,2,1,80000-89999,1
239,15795149,France,25-29,2,0,160000-169999,0
240,15812009,Spain,35-39,4,1,130000-139999,0
241,15651001,Germany,35-39,5,1,120000-129999,0
242,15813844,France,35-39,8,0,70000-79999,0
243,15596175,Germany,65-69,6,1,40000-49999,1
244,15576269,Spain,30-34,7,1,60000-69999,0
245,15797219,France,35-39,10,1,130000-139999,1
246,15685500,Germany,25-29,7,1,70000-79999,0
247,15599792,France,25-29,1,1,190000-199999,0
248,15657566,Germany,20-24,8,1,150000-159999,0
249,15772423,Germany,50-54,8,1,130000-139999,1
250,15628112,Germany,35-39,5,0,90000-99999,0
251,15753754,Spain,30-34,1,1,90000-99999,0
252,15793726,France,75-79,0,0,170000-179999,0
253,15694717,Germany,35-39,2,1,50000-59999,0
254,15665834,Spain,25-29,8,0,170000-179999,0
255,15765297,Spain,40-44,0,0,30000-39999,0
256,15636684,France,30-34,10,1,190000-199999,0
257,15592979,Germany,30-34,6,0,150000-159999,0
258,15750803,France,25-29,6,1,50000-59999,0
259,15607178,Germany,35-39,3,1,140000-149999,0
260,15713853,Germany,40-44,9,1,60000-69999,0
261,15673481,Spain,45-49,6,1,60000-69999,0
262,15686776,France,30-34,6,1,10000-19999,0
263,15673693,France,25-29,0,0,110000-119999,0
264,15700696,Spain,30-34,9,1,10000-19999,0
265,15813163,Spain,35-39,9,1,120000-129999,0
266,15653857,France,30-34,2,1,140000-149999,0
267,15777076,France,35-39,7,1,10000-19999,0
268,15717398,Spain,35-39,7,0,80000-89999,1
269,15799217,Germany,30-34,7,1,160000-169999,0
270,15787071,Spain,40-44,9,0,190000-199999,0
271,15619955,Germany,30-34,3,1,40000-49999,1
272,15796505,Germany,30-34,1,1,180000-189999,0
273,15725166,France,25-29,8,1,30000-39999,0
274,15800116,Germany,25-29,4,0,90000-99999,0
275,15758685,Spain,35-39,7,1,110000-119999,0
276,15694456,France,60-64,3,1,10000-19999,1
277,15767339,France,50-54,10,1,180000-189999,0
278,15683562,France,30-34,6,0,160000-169999,0
279,15782210,France,45-49,1,1,150000-159999,1
280,15668893,France,35-39,8,1,30000-39999,0
281,15669169,Spain,25-29,10,1,60000-69999,0
282,15643024,Germany,30-34,4,1,40000-49999,1
283,15699389,France,40-44,7,1,20000-29999,0
284,15708608,France,20-24,8,0,190000-199999,0
285,15626144,France,35-39,7,1,30000-39999,0
286,15573112,Spain,25-29,5,1,160000-169999,0
287,15790678,France,30-34,8,1,100000-109999,0
288,15727556,Spain,25-29,5,1,180000-189999,0
289,15697307,Spain,30-34,10,1,70000-79999,0
290,15652266,Germany,40-44,9,0,130000-139999,0
291,15607098,Spain,40-44,5,1,190000-199999,0
292,15655774,France,25-29,7,1,50000-59999,0
293,15590241,Spain,30-34,9,0,150000-159999,1
294,15785819,France,35-39,3,1,110000-119999,0
295,15723654,France,20-24,2,1,70000-79999,0
296,15774510,France,30-34,4,1,100000-109999,0
297,15684173,Spain,40-44,7,1,150000-159999,1
298,15650068,France,55-59,0,1,160000-169999,0
299,15811490,France,30-34,5,1,100000-109999,0
300,15803976,France,30-34,10,1,160000-169999,0
301,15682541,Spain,35-39,6,0,10000-19999,0
302,15695699,France,30-34,8,1,10000-19999,0
303,15624188,France,30-34,6,1,190000-199999,0
304,15812191,France,30-34,4,0,90000-99999,0
305,15636673,France,30-34,1,1,20000-29999,0
306,15594898,France,40-44,2,1,170000-179999,1
307,15660211,Germany,30-34,7,1,30000-39999,0
308,15773972,France,45-49,4,1,120000-129999,1
309,15746726,Germany,30-34,8,1,40000-49999,0
310,15712287,France,75-79,4,1,180000-189999,0
311,15702919,Germany,25-29,6,1,140000-149999,0
312,15674398,France,35-39,3,0,170000-179999,0
313,15797960,Germany,55-59,0,1,180000-189999,0
314,15631868,Spain,35-39,2,1,80000-89999,0
315,15581539,Spain,35-39,3,0,50000-59999,0
316,15662736,France,45-49,2,1,120000-129999,1
317,15666252,Spain,40-44,9,1,20000-29999,0
318,15677512,Spain,20-24,3,1,80000-89999,0
319,15626114,France,20-24,4,1,40000-49999,0
320,15810834,Spain,55-59,2,1,60000-69999,0
321,15678910,France,25-29,8,1,10000-19999,0
322,15694408,France,35-39,1,1,180000-189999,1
323,15585215,France,30-34,4,0,50000-59999,0
324,15682757,France,25-29,3,1,100000-109999,0
325,15736601,France,30-34,4,1,130000-139999,0
326,15601848,France,30-34,2,1,100000-109999,0
327,15736008,France,45-49,9,1,100000-109999,1
328,15669064,Germany,30-34,1,1,170000-179999,0
329,15624528,Germany,25-29,7,1,90000-99999,0
330,15598493,France,45-49,7,0,70000-79999,0
331,15601274,Spain,35-39,1,1,10000-19999,0
332,15702669,Germany,40-44,2,0,140000-149999,0
333,15728669,Germany,25-29,8,1,170000-179999,1
334,15742668,Spain,35-39,6,1,0-9999,0
335,15697441,France,25-29,7,1,110000-119999,1
336,15740476,Germany,30-34,3,0,170000-179999,0
337,15648064,France,30-34,2,1,0-9999,0
338,15636624,Spain,35-39,5,1,10000-19999,1
339,15807923,Germany,35-39,10,1,40000-49999,1
340,15745844,Germany,35-39,6,0,80000-89999,1
341,15786170,France,30-34,4,0,160000-169999,0
342,15681081,Spain,45-49,5,1,30000-39999,0
343,15684484,France,20-24,8,0,120000-129999,0
344,15785869,France,20-24,7,1,30000-39999,0
345,15763859,France,40-44,7,1,90000-99999,0
346,15658935,Germany,30-34,9,1,130000-139999,0
347,15747358,Germany,55-59,3,1,30000-39999,0
348,15735203,Germany,30-34,1,1,120000-129999,0
349,15576256,France,35-39,5,1,120000-129999,0
350,15659420,Spain,30-34,3,1,100000-109999,0
351,15593365,Spain,35-39,2,1,10000-19999,0
352,15777352,Spain,30-34,7,1,60000-69999,0
353,15812007,Spain,20-24,6,1,70000-79999,0
354,15625461,France,40-44,1,1,140000-149999,0
355,15739438,France,25-29,0,1,160000-169999,0
356,15611759,Spain,55-59,8,1,130000-139999,0
357,15661629,Spain,30-34,9,1,170000-179999,1
358,15633950,France,40-44,1,1,120000-129999,0
359,15592386,France,55-59,3,0,30000-39999,0
360,15803716,Spain,25-29,3,0,180000-189999,0
361,15696674,Germany,40-44,2,0,0-9999,1
362,15706365,France,45-49,9,1,180000-189999,0
363,15745088,Germany,25-29,9,1,10000-19999,0
364,15676715,France,65-69,9,1,190000-199999,0
365,15613085,Spain,30-34,3,1,180000-189999,0
366,15633537,Germany,40-44,9,1,170000-179999,0
367,15594720,Germany,30-34,8,1,180000-189999,0
368,15684042,Germany,30-34,2,0,50000-59999,0
369,15583303,France,25-29,2,1,30000-39999,0
370,15611579,Spain,40-44,4,1,10000-19999,0
371,15774696,Germany,70-74,1,0,110000-119999,0
372,15694506,Germany,30-34,0,1,180000-189999,0
373,15688074,Germany,30-34,1,1,180000-189999,0
374,15759537,Germany,30-34,7,1,170000-179999,0
375,15758449,France,35-39,8,0,20000-29999,0
376,15583456,Germany,40-44,10,1,120000-129999,1
377,15667871,Spain,30-34,4,1,120000-129999,0
378,15677371,Spain,25-29,2,1,10000-19999,0
379,15629677,Spain,35-39,2,0,180000-189999,1
380,15713578,France,45-49,9,1,110000-119999,0
381,15591509,France,35-39,7,1,120000-129999,0
382,15568240,Germany,25-29,10,0,140000-149999,0
383,15622993,Germany,25-29,8,1,140000-149999,0
384,15689294,Germany,40-44,3,1,80000-89999,0
385,15720910,France,65-69,9,1,10000-19999,0
386,15721181,Spain,45-49,6,1,40000-49999,0
387,15776433,Spain,60-64,2,1,180000-189999,0
388,15748936,Spain,40-44,2,0,160000-169999,0
389,15717225,France,20-24,10,1,0-9999,0
390,15685226,Germany,25-29,7,1,80000-89999,0
391,15785611,Germany,35-39,3,1,70000-79999,0
392,15573456,Spain,45-49,9,1,70000-79999,1
393,15684548,Spain,35-39,8,0,0-9999,1
394,15620505,Spain,20-24,0,1,70000-79999,0
395,15807432,Germany,35-39,2,0,150000-159999,0
396,15584766,France,30-34,3,1,0-9999,0
397,15612187,Germany,30-34,8,1,60000-69999,0
398,15762218,France,35-39,9,0,140000-149999,0
399,15646372,France,65-69,1,1,180000-189999,1
400,15690452,France,50-54,1,1,100000-109999,0
401,15747795,Germany,35-39,4,1,150000-159999,0
402,15781589,Spain,50-54,8,0,170000-179999,0
403,15732674,Spain,35-39,6,0,50000-59999,0
404,15642291,France,20-24,8,1,110000-119999,0
405,15692761,France,35-39,9,1,40000-49999,0
406,15578045,Spain,45-49,9,0,170000-179999,1
407,15745354,Spain,35-39,4,1,120000-129999,0
408,15701376,Germany,35-39,10,1,150000-159999,0
409,15691625,Germany,40-44,3,1,100000-109999,0
410,15566594,Spain,20-24,10,0,120000-129999,0
411,15760431,France,35-39,1,1,80000-89999,0
412,15686302,Spain,30-34,3,1,140000-149999,0
413,15801559,Germany,40-44,9,1,180000-189999,1
414,15810432,Spain,30-34,8,1,160000-169999,0
415,15809616,Spain,25-29,8,0,190000-199999,0
416,15720559,Germany,60-64,5,0,10000-19999,1
417,15695632,France,35-39,9,1,90000-99999,0
418,15659843,France,45-49,6,0,100000-109999,0
419,15615624,France,25-29,6,0,150000-159999,0
420,15810418,Germany,55-59,3,1,90000-99999,1
421,15716186,France,35-39,2,1,80000-89999,0
422,15674551,Germany,35-39,7,1,0-9999,1
423,15622834,France,30-34,4,1,120000-129999,0
424,15566111,France,35-39,9,1,40000-49999,0
425,15784597,France,25-29,9,1,90000-99999,0
426,15652883,Germany,35-39,10,1,140000-149999,0
427,15806964,France,40-44,0,1,20000-29999,0
428,15576313,Germany,35-39,9,1,70000-79999,0
429,15806467,Germany,35-39,1,0,130000-139999,1
430,15597602,Germany,55-59,3,1,70000-79999,1
431,15743040,Germany,40-44,2,0,190000-199999,0
432,15705521,Germany,30-34,0,1,40000-49999,0
433,15595039,Germany,35-39,8,1,130000-139999,1
434,15799384,France,30-34,8,0,70000-79999,0
435,15581197,France,50-54,3,0,80000-89999,0
436,15693737,Germany,25-29,4,1,120000-129999,0
437,15624623,France,30-34,10,0,110000-119999,0
438,15783501,France,35-39,2,1,60000-69999,0
439,15690134,Germany,40-44,3,1,160000-169999,0
440,15782735,France,30-34,3,0,80000-89999,0
441,15611088,France,30-34,9,1,80000-89999,0
442,15672145,France,30-34,7,1,70000-79999,0
443,15732628,France,45-49,2,1,110000-119999,0
444,15787470,Spain,45-49,3,0,140000-149999,1
445,15803406,France,25-29,1,0,180000-189999,0
446,15730460,France,35-39,2,0,120000-129999,0
447,15644572,France,35-39,4,1,100000-109999,0
448,15694860,France,35-39,6,0,130000-139999,1
449,15658169,Spain,45-49,6,1,120000-129999,0
450,15794396,Germany,35-39,7,1,40000-49999,0
451,15785798,France,35-39,9,0,110000-119999,0
452,15710825,Spain,30-34,7,0,40000-49999,0
453,15668444,Spain,40-44,3,1,60000-69999,0
454,15726631,France,35-39,6,0,50000-59999,0
455,15733797,France,35-39,5,1,160000-169999,0
456,15747960,France,30-34,3,1,0-9999,0
457,15634632,France,35-39,3,1,60000-69999,0
458,15707362,Germany,40-44,1,0,190000-199999,1
459,15662976,Spain,35-39,8,1,180000-189999,0
460,15732778,Germany,25-29,1,1,190000-199999,0
461,15718443,France,35-39,3,1,30000-39999,0
462,15670039,Spain,20-24,3,1,100000-109999,0
463,15773792,France,30-34,4,1,40000-49999,1
464,15613786,Spain,25-29,4,1,160000-169999,0
465,15726032,France,30-34,9,1,60000-69999,0
466,15663252,Spain,30-34,9,1,10000-19999,0
467,15593782,Germany,35-39,5,1,70000-79999,1
468,15633283,France,30-34,8,1,60000-69999,0
469,15749167,France,30-34,3,1,180000-189999,0
470,15759298,Spain,25-29,10,1,170000-179999,0
471,15683625,France,35-39,1,1,20000-29999,1
472,15635367,France,25-29,2,1,20000-29999,0
473,15681705,France,25-29,8,1,70000-79999,0
474,15603156,France,30-34,1,1,100000-109999,0
475,15591986,Germany,45-49,6,0,30000-39999,1
476,15798888,Germany,30-34,1,1,180000-189999,0
477,15809722,France,35-39,8,1,140000-149999,0
478,15677538,France,35-39,7,1,100000-109999,0
479,15797736,France,25-29,4,1,20000-29999,0
480,15695585,Spain,30-34,6,0,180000-189999,0
481,15744398,France,20-24,5,1,160000-169999,0
482,15750658,France,35-39,8,0,110000-119999,0
483,15578186,Germany,35-39,9,1,140000-149999,0
484,15676519,Spain,60-64,9,1,150000-159999,1
485,15637954,France,30-34,0,1,50000-59999,0
486,15758639,France,35-39,7,1,70000-79999,0
487,15613772,France,35-39,3,1,10000-19999,1
488,15731744,France,25-29,2,0,130000-139999,0
489,15807709,Germany,50-54,9,1,100000-109999,0
490,15714689,Spain,25-29,1,1,190000-199999,0
491,15699005,France,40-44,2,1,0-9999,0
492,15624170,France,35-39,4,0,110000-119999,0
493,15725679,France,45-49,6,0,190000-199999,1
494,15585865,France,35-39,2,0,130000-139999,1
495,15804256,Germany,35-39,8,1,70000-79999,0
496,15662403,France,30-34,6,1,100000-109999,0
497,15733616,France,35-39,5,1,140000-149999,0
498,15591995,Germany,25-29,8,1,120000-129999,0
499,15677020,France,55-59,8,0,110000-119999,1
500,15727688,Spain,30-34,4,1,50000-59999,0
501,15715941,France,50-54,5,1,80000-89999,0
502,15714485,France,55-59,5,1,70000-79999,1
503,15730059,Spain,40-44,9,1,110000-119999,0
504,15715527,Spain,40-44,4,0,190000-199999,0
505,15576623,France,30-34,5,1,30000-39999,0
506,15805565,Germany,25-29,7,1,20000-29999,0
507,15677307,Germany,35-39,6,1,180000-189999,0
508,15773890,France,20-24,5,1,110000-119999,0
509,15598883,Spain,35-39,2,1,140000-149999,0
510,15568506,Germany,30-34,10,1,160000-169999,0
511,15761043,Germany,35-39,6,1,90000-99999,0
512,15782236,Spain,30-34,5,0,70000-79999,0
513,15593601,France,30-34,6,1,10000-19999,0
514,15682048,France,50-54,3,1,60000-69999,1
515,15746902,Spain,35-39,9,1,80000-89999,0
516,15752081,France,55-59,10,0,60000-69999,1
517,15781307,Germany,35-39,7,1,130000-139999,0
518,15775912,France,45-49,4,0,170000-179999,1
519,15745417,France,55-59,6,0,120000-129999,0
520,15671256,France,30-34,1,1,180000-189999,1
521,15653547,France,55-59,7,1,110000-119999,0
522,15595766,Spain,35-39,5,1,130000-139999,0
523,15742358,Germany,30-34,8,1,110000-119999,0
524,15763274,France,45-49,3,0,90000-99999,0
525,15786063,France,30-34,2,1,110000-119999,0
526,15600258,France,40-44,2,1,160000-169999,0
527,15573318,France,25-29,8,1,160000-169999,0
528,15653849,Germany,45-49,3,1,30000-39999,1
529,15694272,France,25-29,1,1,70000-79999,0
530,15736112,Spain,55-59,2,1,20000-29999,0
531,15749851,Spain,25-29,4,0,50000-59999,0
532,15663478,France,30-34,6,1,70000-79999,0
533,15592300,Spain,30-34,10,1,70000-79999,0
534,15567832,France,35-39,7,1,50000-59999,0
535,15776780,France,55-59,1,1,70000-79999,1
536,15592846,Germany,30-34,10,1,50000-59999,0
537,15739803,Spain,30-34,9,1,120000-129999,0
538,15794142,Germany,60-64,5,0,10000-19999,1
539,15762729,Germany,25-29,1,1,70000-79999,1
540,15667896,France,35-39,8,1,130000-139999,0
541,15626578,France,25-29,9,1,150000-159999,0
542,15776223,France,40-44,4,1,100000-109999,0
543,15705953,Spain,50-54,0,1,100000-109999,1
544,15802593,France,45-49,7,0,80000-89999,1
545,15615457,Spain,40-44,2,1,120000-129999,0
546,15708916,France,35-39,0,1,40000-49999,0
547,15720187,Germany,25-29,7,1,40000-49999,0
548,15595440,France,45-49,7,1,70000-79999,0
549,15600651,France,20-24,1,1,40000-49999,0
550,15750141,Germany,35-39,3,1,20000-29999,0
551,15657284,Germany,45-49,6,1,0-9999,1
552,15763063,Spain,20-24,10,1,120000-129999,0
553,15709324,France,30-34,7,1,50000-59999,0
554,15711309,Germany,30-34,3,1,190000-199999,0
555,15775318,Spain,50-54,3,0,190000-199999,1
